Project Key,Summary,Issue Type,Priority,Labels,Story point estimate,Sprint,Description
CEN,"Python SDK metrics endpoint compatibility",Story,Medium,"cencori kpi-delivery kpi-quality beginner python-sdk",3,"Sprint 1","Update /Users/apple/cencori/packages/python-sdk/src/cencori/metrics.py to call /api/v1/metrics?period=... instead of path params.\n\nAcceptance Criteria:\n1. day/week/month periods return successful responses.\n2. Auth handling in /Users/apple/cencori/packages/python-sdk/src/cencori/client.py remains unchanged.\n3. Tests are added/updated to verify query-param format."
CEN,"Go SDK metrics endpoint compatibility",Story,Medium,"cencori kpi-delivery kpi-quality beginner go-sdk",3,"Sprint 1","Update /Users/apple/cencori/cencori-go/metrics.go to call /api/v1/metrics?period=... instead of path params.\n\nAcceptance Criteria:\n1. day/week/month periods return successful responses.\n2. Error handling remains consistent with /Users/apple/cencori/cencori-go/errors.go.\n3. Tests/examples verify URL format and response parsing."
CEN,"Add v1 contract smoke tests for models and metrics",Story,High,"cencori kpi-quality kpi-ownership testing",5,"Sprint 1","Add contract tests for /api/v1/metrics and /api/v1/models.\n\nAcceptance Criteria:\n1. Tests fail when endpoint path or required response keys drift.\n2. Tests run in CI.\n3. Local run instructions are documented."
CEN,"Sync Python and Go SDK docs for metrics usage",Task,Medium,"cencori kpi-ownership kpi-collaboration docs",2,"Sprint 1","Update metrics examples in /Users/apple/cencori/packages/python-sdk/README.md and /Users/apple/cencori/cencori-go/README.md.\n\nAcceptance Criteria:\n1. Examples reflect current endpoint behavior.\n2. Snippets run with only API key changes.\n3. One sample output block is included per SDK."
CEN,"Add /api/v1/embeddings compatibility route",Story,High,"cencori kpi-delivery kpi-ownership api",5,"Sprint 2","Create /api/v1/embeddings route that delegates to /Users/apple/cencori/app/api/ai/embeddings/route.ts.\n\nAcceptance Criteria:\n1. POST /api/v1/embeddings works with OpenAI-compatible payload.\n2. Response shape matches embedding clients.\n3. Backward-compatibility test is added."
CEN,"Align Python embeddings client to canonical API",Story,Medium,"cencori kpi-delivery kpi-quality python-sdk",3,"Sprint 2","Update /Users/apple/cencori/packages/python-sdk/src/cencori/ai.py for canonical embeddings endpoint and response handling.\n\nAcceptance Criteria:\n1. Embeddings calls pass smoke/integration tests.\n2. 4xx/5xx errors are actionable.\n3. README snippet is updated if behavior changed."
CEN,"Align Go embeddings client to canonical API",Story,Medium,"cencori kpi-delivery kpi-quality go-sdk",3,"Sprint 2","Update /Users/apple/cencori/cencori-go/chat.go and related request utilities for canonical embeddings endpoint.\n\nAcceptance Criteria:\n1. Endpoint call is correct.\n2. Response unmarshalling is validated by tests.\n3. No chat-completions regressions."
CEN,"Resolve TS Memory SDK search contract gap",Story,High,"cencori kpi-ownership kpi-quality typescript-sdk",5,"Sprint 2","Reconcile /Users/apple/cencori/packages/sdk/src/memory/index.ts with actual memory API routes under /app/api/memory/* and /app/api/projects/[projectId]/memory/*.\n\nAcceptance Criteria:\n1. One canonical search path is implemented and documented.\n2. SDK search works end-to-end.\n3. Contract test catches future route drift."
CEN,"Scan false-positive reduction experiment",Task,Medium,"cencori kpi-innovation kpi-ownership scan spike",5,"Innovation 20%","Run false-positive reduction experiment in /Users/apple/cencori/lib/scan/llm-filter.ts using real scan outputs.\n\nAcceptance Criteria:\n1. Baseline vs experiment report is produced.\n2. Precision/recall tradeoff is documented.\n3. Follow-up implementation ticket is created if safe improvement is confirmed."
CEN,"Provider routing dry-run scorer prototype",Task,Medium,"cencori kpi-innovation kpi-delivery gateway spike",5,"Innovation 20%","Add non-invasive dry-run recommendation logging in /Users/apple/cencori/lib/providers/router.ts.\n\nAcceptance Criteria:\n1. Feature flag controls dry-run behavior.\n2. Live routing behavior does not change.\n3. Findings note includes go/no-go recommendation."
